Country,PPCG_Donor_Id,Matching_WGS_Sample,WGS_Local_Sample_Id,PPCG_Meth_Sample_ID,Platform,Meth_Local_Sample_ID,Meth_Sample_Type,MetastaticSite,Meth_Distance_To_WGS_Sample,Meth_RNASeq_Annot,idat_grn_filename,idat_red_filename,Date_of_scan_or_Sequencing,Comments,Is_FFPE
Denmark,CL_22rv1_Denmark,NA,NA,CL_22rv1_Denmark_450k,450k,22rv1,CELL_LINE,NA,UNMATCH,NA,5791041004_R02C02_Grn.idat,5791041004_R02C02_Red.idat,2012/01/06,,
Denmark,CL_47_PNT1A_P_Denmark,NA,NA,CL_47_PNT1A_P_Denmark_450k,450k,47_PNT1A_P,CELL_LINE,NA,UNMATCH,MATCHED?,9741779046_R05C02_Grn.idat,9741779046_R05C02_Red.idat,2014/04/03,,
Denmark,CL_BPH1_Denmark,NA,NA,CL_BPH1_Denmark_450k,450k,BPH1,CELL_LINE,NA,UNMATCH,MATCHED,5791041008_R06C01_Grn.idat,5791041008_R06C01_Red.idat,2012/01/06,,
Denmark,CL_C4_Denmark,NA,NA,CL_C4_Denmark_450k,450k,C4,CELL_LINE,NA,UNMATCH,MATCHED,7766148072_R02C01_Grn.idat,7766148072_R02C01_Red.idat,2012/4/26,,
Denmark,CL_C4-2_Denmark,NA,NA,CL_C4-2_Denmark_450k,450k,C4-2,CELL_LINE,NA,UNMATCH,MATCHED,7766148072_R04C01_Grn.idat,7766148072_R04C01_Red.idat,2012/04/26,,
Denmark,CL_DU145 MN1_Denmark,NA,NA,CL_DU145 MN1_Denmark_450k,450k,DU145 MN1,CELL_LINE,NA,UNMATCH,MATCHED,7766148072_R03C01_Grn.idat,7766148072_R03C01_Red.idat,2012/4/26,,
Denmark,CL_DU145_Denmark,NA,NA,CL_DU145_Denmark_450k,450k,DU145,CELL_LINE,NA,UNMATCH,MATCHED,5791041013_R01C02_Grn.idat,5791041013_R01C02_Red.idat,2012/01/06,,
Denmark,CL_DuCaP_Denmark,NA,NA,CL_DuCaP_Denmark_450k,450k,DuCaP,CELL_LINE,NA,UNMATCH,MATCHED,5775446037_R06C01_Grn.idat,5775446037_R06C01_Red.idat,2012/01/18,,
Denmark,CL_LNCaP_Denmark,NA,NA,CL_LNCaP_Denmark_450k,450k,LNCaP,CELL_LINE,NA,UNMATCH,MATCHED,5791041008_R04C02_Grn.idat,5791041008_R04C02_Red.idat,2012/1/6,,
Denmark,CL_PC3_Denmark,NA,NA,CL_PC3_Denmark_450k,450k,PC3,CELL_LINE,NA,UNMATCH,MATCHED,5791041007_R02C01_Grn.idat,5791041007_R02C01_Red.idat,2012/01/06,,
Denmark,CL_PC3M_Denmark,NA,NA,CL_PC3M_Denmark_450k,450k,PC3M,CELL_LINE,NA,UNMATCH,MATCHED,7766148072_R05C01_Grn.idat,7766148072_R05C01_Red.idat,2012/4/26,,
Denmark,CL_PC3M-Pro4_Denmark,NA,NA,CL_PC3M-Pro4_Denmark_450k,450k,PC3M-Pro4,CELL_LINE,NA,UNMATCH,MATCHED,7766148072_R01C02_Grn.idat,7766148072_R01C02_Red.idat,2012/04/26,,
Denmark,CL_PNT1A-1_Denmark,NA,NA,CL_PNT1A-1_Denmark_450k,450k,PNT1A-1,CELL_LINE,NA,UNMATCH,MATCHED?,5791041013_R04C01_Grn.idat,5791041013_R04C01_Red.idat,2012/1/6,,
Denmark,CL_PrEC_Denmark,NA,NA,CL_PrEC_Denmark_450k,450k,PrEC,CELL_LINE,NA,UNMATCH,MATCHED,5775446025_R02C01_Grn.idat,5775446025_R02C01_Red.idat,2012/01/06,,
